MeetNumber,CWANumber,Program,RaceNumber,EntryType,Box,Placement,MeetPoints,AOMEarned,DPCPoints,Incident
2026-01,T90005,1,1,REG,1,1,5,0,0,yes
2026-01,T90006,1,1,REG,2,2,3,0,0,yes
2026-01,T90007,1,1,REG,3,3,2,0,0,
2026-01,T90008,1,1,REG,4,4,1,1,0,
2026-01,T90009,1,2,REG,1,1,5,0,0,
2026-01,T90010,1,2,REG,2,2,3,0,0,
2026-01,T90011,1,2,REG,3,3,2,0,0,
2026-01,T90012,1,2,REG,4,4,1,0,0,
2026-01,T90013,1,3,REG,1,2,3,0,0,
2026-01,T90014,1,3,REG,2,1,5,0,0,

2026-01,T90005,2,1,REG,1,1,5,0,0,yes
2026-01,T90006,2,1,REG,2,2,3,0,0,yes
2026-01,T90007,2,1,REG,3,3,2,0,0,
2026-01,T90008,2,1,REG,4,4,1,1,0,
2026-01,T90009,2,2,REG,1,2,3,0,0,
2026-01,T90010,2,2,REG,2,1,5,0,0,
2026-01,T90011,2,2,REG,3,4,1,0,0,
2026-01,T90012,2,2,REG,4,3,2,0,0,
2026-01,T90013,2,3,REG,1,3,2,0,0,
2026-01,T90014,2,3,REG,2,4,1,0,0,

2026-01,T90005,3,1,REG,1,2,3,0,0,yes
2026-01,T90006,3,1,REG,2,1,5,0,0,yes
2026-01,T90007,3,1,REG,3,3,2,0,0,
2026-01,T90008,3,1,REG,4,4,1,1,0,
2026-01,T90009,3,2,REG,1,1,5,0,0,
2026-01,T90010,3,2,REG,2,2,3,0,0,
2026-01,T90011,3,2,REG,3,4,1,0,0,
2026-01,T90012,3,2,REG,4,3,2,0,0,
2026-01,T90013,3,3,REG,1,4,1,0,0,
2026-01,T90014,3,3,REG,2,3,2,0,0,

2026-01,T90005,4,1,REG,1,1,5,0,0,yes
2026-01,T90006,4,1,REG,2,2,3,0,0,yes
2026-01,T90007,4,1,REG,3,4,1,0,0,
2026-01,T90008,4,1,REG,4,3,2,1,0,
2026-01,T90009,4,2,REG,1,2,3,0,0,
2026-01,T90010,4,2,REG,2,1,5,0,0,
2026-01,T90011,4,2,REG,3,3,2,0,0,
2026-01,T90012,4,2,REG,4,4,1,0,0,
2026-01,T90013,4,3,REG,1,3,2,0,0,
2026-01,T90014,4,3,REG,2,4,1,0,0,